tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt1859546,Sisyphus K.,Sizif K.,2015,84,"Drama,Mystery",5.3,52
tt1059929,Heart,Heart,2006,126,"Drama,Romance",6.6,480
tt0489373,Estland mon amour,Estland mon amour,2004,93,Documentary,7.9,17
tt0151189,Kasach,Kasach,1984,90,"Drama,Music,Romance",5.8,15
tt26470294,Deadly Desire,Deadly Desire,2023,\N,Thriller,6.0,108
tt1286135,Cristiano de la secreta,Cristiano de la secreta,2009,90,Comedy,6.6,863
tt8339458,Alinagarer Golokdhadha,Alinagarer Golokdhadha,2018,139,Adventure,7.1,783
tt0023205,Melodía de arrabal,Melodia de arrabal,1933,94,"Musical,Romance",7.0,51
tt26694732,Janata Bar,Janata Bar,2023,\N,"Action,Drama",7.0,6
tt4651520,Bad Moms,Bad Moms,2016,100,Comedy,6.2,139317
tt2915058,MultipleX,MultipleX,2013,\N,Thriller,3.4,19
tt8304276,Acid,Kislota,2018,97,Drama,5.8,1703
tt0122036,De bør forelske Dem,De bør forelske Dem,1935,108,"Comedy,Drama,Family",5.7,23
tt0041309,Der Dorfmonarch,Der Dorfmonarch,1950,96,Comedy,5.6,24
tt8950316,Jacob's Crossword,El Crucigrama de Jacob,2018,75,"Documentary,Drama,History",5.2,8
tt1051701,The Beginning,The Beginning,2007,\N,Horror,7.4,26
tt0191833,Blazing the Western Trail,Blazing the Western Trail,1945,60,"Drama,Western",5.8,186
tt0034953,Kuollut mies rakastuu,Kuollut mies rakastuu,1942,91,"Comedy,Thriller",5.0,75
tt3702656,The 4Bidden Fables,The 4Bidden Fables,2014,95,"Fantasy,Horror,Thriller",5.1,179
tt0038747,Monsieur Beaucaire,Monsieur Beaucaire,1946,93,"Adventure,Comedy,History",6.7,802
tt5508084,The Ways of Love,The Ways of Love,1950,\N,Drama,6.2,23
tt2463004,It Was Better Tomorrow,Ya man aach,2012,74,"Documentary,Drama",8.0,23
tt2468774,Confession of Murder,Naega sarinbeomida,2012,119,"Action,Crime,Mystery",7.0,12619
tt1161647,Last Getaway,Last Getaway,2007,91,"Comedy,Horror,Mystery",8.4,69
tt13368144,Discover Your Path Tour,Discover Your Path Tour,2020,108,Documentary,8.8,9
tt8070042,Beneath a Sea of Lights,Beneath a Sea of Lights,2020,92,"Crime,Drama",5.6,563
tt4339118,On the Road,On the Road,2014,89,"Drama,Romance",4.8,16
tt14680542,Konkal chor,Konkal chor,2021,57,Thriller,7.9,25
tt0138656,Nina ja Erik,Nina ja Erik,1960,86,Drama,5.3,74
tt11559138,Young Hunter,El cazador,2020,101,Drama,6.0,1599
tt1988633,Gigante,Gigante,2017,\N,Biography,7.2,6
tt36462227,Britain and the Blitz,Britain and the Blitz,2025,77,"Documentary,History",6.8,1176
tt0381234,The Silver Necklace,Gümüs gerdanlik,1963,\N,Drama,5.5,12
tt0086259,Schwarzfahrer,Schwarzfahrer,1983,102,Comedy,7.1,49
tt0092841,Dead Man Walking,Dead Man Walking,1988,90,"Action,Sci-Fi",5.0,409
tt8805486,El-Badlah,El-Badlah,2018,100,"Action,Comedy,Drama",5.4,2498
tt0232444,Posledný návrat,Posledný návrat,1959,93,Drama,6.0,7
tt0869134,Shanghai Bride,Shanghai Bride,2006,51,Documentary,7.4,9
tt3827464,Nina y Laura,Nina y Laura,2015,70,Drama,6.2,15
tt0386097,Urban Guerillas,Urban Guerillas,2004,81,"Comedy,Drama",7.0,33
tt1817125,Desert People,Desert People,1967,51,Documentary,7.8,8
tt0056172,Lawrence of Arabia,Lawrence of Arabia,1962,227,"Adventure,Biography,Drama",8.3,333965
tt13450702,American Warrior,American Warrior,2024,93,"Action,Drama,Sport",8.7,68
tt0346490,Alamid: Ang alamat,Alamid: Ang alamat,1998,95,"Action,Fantasy,Sci-Fi",6.3,14
tt1412441,God Willing,God Willing,2010,73,Documentary,7.1,25
tt1786536,Once Upon Our Time,Kène ya ma kène fi hadha ezzamène,2010,90,Documentary,9.1,13
tt2262270,Spud 2: The Madness Continues,Spud 2: The Madness Continues,2013,91,Comedy,6.1,1305
tt1736049,A Place at the Table,A Place at the Table,2012,84,Documentary,6.9,1245
tt0370928,Boys in the Sky,Malchiki v nebe,2003,86,"Comedy,Drama",8.6,186
tt0849466,El rey de los huevones,El rey de los huevones,2006,96,Comedy,5.1,439
tt0065037,The Sterile Cuckoo,The Sterile Cuckoo,1969,107,"Comedy,Drama,Romance",6.6,2560
tt5529726,My Name Is Jacque,Meu Nome é Jacque,2016,80,Documentary,8.5,32
tt0318043,Sara Is Guilty,Saraneun yujoi,1993,100,"Drama,Romance,Thriller",4.4,21
tt0083705,El cabezota,El cabezota,1982,94,"Comedy,Drama",5.9,56
tt0024752,War of the Range,War of the Range,1933,59,"Drama,Western",6.1,17
tt0043515,The Strange Case of the Man and the Beast,El extraño caso del hombre y la bestia,1951,80,"Horror,Sci-Fi",6.6,96
tt0930902,Midori,Shôjo tsubaki: Chika gentô gekiga,1992,55,"Adult,Animation,Drama",6.3,4595
tt34353561,De schaduw van de lach - Het verhaal van Jay Francis,De schaduw van de lach - Het verhaal van Jay Francis,2024,93,Documentary,6.2,26
tt0034402,World Premiere,World Premiere,1941,71,Comedy,6.5,104
tt0005682,Madame Butterfly,Madame Butterfly,1915,61,Drama,5.2,105
tt0083995,Gedächtnis: Ein Film für Curt Bois und Bernhard Minetti,Gedächtnis: Ein Film für Curt Bois und Bernhard Minetti,1982,90,Documentary,7.5,18
tt3171802,Wang ming jiao wa,Wang ming jiao wa,1979,91,"Action,Crime",5.6,10
tt6802540,Hombre de fe,Hombre de fe,2017,98,"Biography,Drama,Sport",6.0,255
tt7437462,Shopkins World Vacation,Shopkins World Vacation,2017,70,"Adventure,Animation,Comedy",6.6,61
tt0079738,Porridge,Porridge,1979,93,"Comedy,Crime",7.2,3586
tt1846487,Reality,Reality,2012,116,"Comedy,Drama",6.8,5980
tt29295690,Mauler,Mauler,2025,79,Horror,3.9,93
tt0096465,World Gone Wild,World Gone Wild,1987,95,"Action,Sci-Fi",5.1,1174
tt0105867,Yan zhi,Yan zhi,1992,92,"Drama,Romance",6.0,7
tt0274616,The Fearless Ones,Korkusuzlar,1965,72,"Action,Drama",5.1,46
tt0040774,La sepolta viva,La sepolta viva,1949,83,"Drama,History",5.9,13
tt11311974,Moonlit Winter,Yunhui-ege,2019,105,"Drama,Romance",6.9,1351
tt22766264,Le Mythe de la femme noire,Le Mythe de la femme noire,2022,94,Documentary,8.2,16
tt0078872,The Black Stallion,The Black Stallion,1979,118,"Adventure,Family,Sport",7.4,14980
tt0374358,Stork Day,È già ieri,2004,90,"Comedy,Fantasy",6.5,1231
tt29044978,Once Upon a Time in a Forest,Havumetsän lapset,2024,93,Documentary,7.1,282
tt28275833,Harawata Man,Harawata Man,2019,46,"Comedy,Horror",6.3,24
tt2638456,Ghost Day,Gang tob phii,2012,96,"Comedy,Horror",4.4,113
tt12995706,Under the Crystal Dome,Under the Crystal Dome,2019,60,Thriller,6.7,16
tt0071682,"Joachim, Put It in the Machine","Jáchyme, hod ho do stroje!",1974,95,Comedy,7.6,1445
tt1467366,Lilly's Thorn,Lilly's Thorn,2009,91,Drama,6.7,17
tt0095793,L'orchestre rouge,L'orchestre rouge,1989,173,"Adventure,Drama,History",6.1,108
tt0357959,Peter Bell II: The Hunt for the Czar Crown,Pietje Bell II: De jacht op de tsarenkroon,2003,112,Family,5.8,1683
tt1325702,Journey from Zanskar,Journey from Zanskar,2010,90,Documentary,9.1,43
tt0125701,The Circle of Death,The Circle of Death,1935,60,"Drama,Western",5.1,28
tt19495772,Zépon,Zépon,2022,115,Drama,5.6,7
